perception,LOC,C3,CBO,MPC,RFC,WMC,Readability,Avg-commit-size,number-changes,number-committors,persistance,number-fixes,avg.dev.scattering,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOCNAMM_type,CFNAMM_type,TCC_type,NOC_type,LCOM5_type,WOC_type,WMCNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,isStatic_type,NOPA_type,number_private_visibility_attributes,number_protected_visibility_attributes,number_package_visibility_attributes,num_final_attributes,num_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_final_not_static_attributes,num_static_not_final_attributes,number_public_visibility_methods,number_private_visibility_methods,number_protected_visibility_methods,number_package_visibility_methods,number_final_methods,number_abstract_methods,number_not_abstract_not_final_methods,number_static_methods,number_final_static_methods,number_final_not_static_methods,number_not_final_static_methods,number_not_final_not_static_methods,number_standard_design_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,is_controller,is_procedural,is_test,is_util,is_external
SEVERE,1071,0.72,3,0.42,4,7,0.78,10,6,3,4,17,0.2,1,8,0,9,0,0,0,1,4,0,1,6,0,0.142857,0,0.875,0,1,13,84,0,4557,116,0,0,4,0,0,0,0,0,4,0,0,8,0,0,1,0,0,9,0,0,0,0,9,0,0,1,FALSE,FALSE,TRUE,FALSE,FALSE
SEVERE,922,0.32,7,0.49,10,58,0.12,9,168,7,1,10,0.7,1,6,0,11,0,0,0,5,6,0,1,92,0,0,0,1,0,5,13,84,0,4557,116,0,0,6,0,0,6,0,0,0,6,0,6,0,0,5,0,0,11,0,0,0,0,11,0,0,5,TRUE,FALSE,FALSE,FALSE,FALSE
SEVERE,929,0.11,15,0.53,6,64,0.07,10,77,3,4,10,0.64,0,16,2,83,?,26,18,67,22,?,2,2997,62,0.392888,3,0.953437,?,314,49,726,12,19441,882,0,0,5,12,5,3,3,3,19,0,0,50,14,13,6,2,0,81,2,0,2,2,79,66,0,1,TRUE,FALSE,FALSE,FALSE,FALSE
SEVERE,1045,0.06,21,0.53,9,59,0.05,9,74,6,2,10,0.86,0,2,0,17,5,20,12,15,65,125,5,1031,23,0.346154,0,0.936538,0.9,90,24,244,2,6943,292,0,0,65,0,0,24,24,24,41,0,0,10,3,4,0,0,0,17,1,0,0,1,16,14,0,1,TRUE,FALSE,FALSE,FALSE,FALSE
SEVERE,897,0.06,18,0.43,7,60,0.11,4,68,5,4,13,0.64,0,2,1,39,2,12,16,37,11,92,4,1676,35,0.334454,0,0.966507,0.933333,226,2,75,1,2325,89,0,0,5,1,5,3,3,3,8,0,0,30,3,6,0,0,0,39,3,0,0,3,36,36,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
SEVERE,956,0.22,11,0.44,8,68,0.09,5,211,7,4,11,0.58,2,8,0,10,0,0,0,2,5,0,1,78,0,0.142857,0,0.933333,0.2,2,66,694,5,19469,800,0,0,4,0,1,1,1,1,4,0,0,10,0,0,0,0,0,10,0,0,0,0,10,0,0,2,FALSE,FALSE,FALSE,FALSE,FALSE
SEVERE,895,0.08,15,0.43,8,47,0.12,9,153,4,4,17,0.8,2,11,0,45,1,13,10,34,15,12,2,1157,17,0.44367,0,0.913636,0.744186,121,28,229,3,9478,319,0,0,12,0,3,0,0,0,15,0,0,43,1,1,0,1,0,44,0,0,1,0,44,32,0,2,FALSE,FALSE,FALSE,FALSE,FALSE
SEVERE,926,0.18,20,0.54,5,54,0.03,7,61,7,4,18,0.82,0,1,0,3,1,0,0,2,1,0,1,14,0,1,0,0.5,0.666667,2,9,66,1,790,69,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,3,0,0,0,0,3,1,0,1,TRUE,FALSE,FALSE,FALSE,FALSE
SEVERE,896,0.21,20,0.41,10,72,0.12,4,58,6,3,18,0.71,1,10,0,15,2,1,2,5,7,0,1,53,5,0.21978,0,0.867347,0.333333,7,40,196,2,3478,218,0,0,7,0,0,4,0,0,3,4,0,15,0,0,0,0,0,15,0,0,0,0,15,4,0,1,TRUE,TRUE,FALSE,FALSE,FALSE
SEVERE,988,0.34,10,0.46,6,61,0.08,2,44,3,3,13,0.85,0,0,0,1,0,4,1,1,10,2,2,38,1,1,0,0,0,1,5,24,1,527,26,0,10,0,0,0,10,10,10,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,TRUE,FALSE,TRUE,FALSE,FALSE
